form_id,pair_index,pair_type,item_A_id,item_A_text,item_A_category,item_B_id,item_B_text,item_B_category,response_options
F004,5,within,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F005,1,cross,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,V028,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F005,2,within,V018,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,V011,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F005,3,cross,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F005,4,cross,V016,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F005,5,cross,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,V031,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your strength coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F006,1,cross,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V016,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F006,2,within,V024,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F006,3,within,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F006,4,within,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F006,5,cross,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F007,1,within,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,V016,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F007,2,cross,V015,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F007,3,within,V030,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F007,4,within,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F007,5,cross,V015,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F008,1,cross,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F008,2,cross,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V027,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your physician.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F008,3,within,V023,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,V013,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F008,4,cross,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,V035,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F008,5,cross,V030,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V010,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F009,1,cross,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F009,2,cross,V028,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F009,3,within,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F009,4,cross,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F009,5,within,V027,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V031,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your strength coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F010,1,cross,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F010,2,within,V004,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F010,3,cross,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F010,4,within,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,V011,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F010,5,within,V004,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F011,1,cross,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F011,2,within,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F011,3,cross,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F011,4,within,V024,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V026,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F011,5,cross,V026,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F012,1,within,V030,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F012,2,cross,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V017,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F012,3,within,V027,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V031,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your strength coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F012,4,within,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F012,5,within,V031,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your strength coach.",Performance/Team Readiness,V035,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F013,1,cross,V005,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V009,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F013,2,cross,V033,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V004,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F013,3,cross,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,V010,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F013,4,within,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,V028,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F013,5,within,V008,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your strength coach.,Clinical/Health Concern,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F014,1,cross,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,V018,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your physician.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F014,2,within,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,V012,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F014,3,cross,V002,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your athletic trainer.,Clinical/Health Concern,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F014,4,within,V031,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your strength coach.",Performance/Team Readiness,V030,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F014,5,within,V024,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and keeps the results private and does not share them further.",Performance/Team Readiness,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F015,1,within,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F015,2,within,V016,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F015,3,cross,V034,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your head coach.",Performance/Team Readiness,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F015,4,within,V015,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your strength coach.,Performance/Load Management,V019,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F015,5,cross,V026,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,V006,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your physician.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F016,1,within,V014,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and does not share the information further.,Performance/Load Management,V012,You send your menstrual cycle data to your team's strength coach. The strength coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F016,2,within,V016,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your head coach.,Performance/Load Management,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F016,3,cross,V007,You send your menstrual cycle data to your team's athletic trainer. The athletic trainer evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F016,4,cross,V021,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your sports scientist.,Performance/Load Management,V003,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and passes it along to your head coach.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F016,5,within,V029,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V025,"You send your menstrual cycle data to your team's strength coach, along with the rest of the team's data. The strength coach aggregates the data and passes the results along to your sports scientist.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
F017,1,cross,V033,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your physician.",Performance/Team Readiness,V022,You send your menstrual cycle data to your team's head coach. The head coach evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,A / B / Neither of these is something I'd be comfortable with
F017,2,cross,V017,You send your menstrual cycle data to your team's sports scientist. The sports scientist evaluates the data to decide whether to increase or reduce your training load that day and passes it along to your athletic trainer.,Performance/Load Management,V001,You send your menstrual cycle data to your team's physician. The physician evaluates the data for a health concern and does not share the information further.,Clinical/Health Concern,A / B / Neither of these is something I'd be comfortable with
F017,3,within,V035,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your whole team.",Performance/Team Readiness,V032,"You send your menstrual cycle data to your team's sports scientist, along with the rest of the team's data. The sports scientist aggregates the data and passes the results along to your athletic trainer.",Performance/Team Readiness,A / B / Neither of these is something I'd be comfortable with
